member_id,profile_name,source_url,tag_type,tag,normalized_tag,taxonomy_status,includes_legacy_narrative,built_at_utc,source_types,supporting_source_count,supporting_source_labels
mem_2b973efd83,Richard Dyck,https://profiles.ucalgary.ca/richard-dyck,hbi_umbrella,Brain Injury and Neurotrauma,brain injury and neurotrauma,accepted,false,2026-07-31T20:56:20.541600+00:00,declared_area_title,1,Brain Injury
mem_2bd0db628a,Kathleen Chaput,https://profiles.ucalgary.ca/kathleen-chaput,mesh_concept,Mental Health,mental health,accepted,false,2026-07-31T20:56:20.541600+00:00,declared_area_list,2,Maternal and infant mental health and wellbeing || Maternal perinatal mental health
mem_2bd0db628a,Kathleen Chaput,https://profiles.ucalgary.ca/kathleen-chaput,hbi_umbrella,Mental Health,mental health,accepted,false,2026-07-31T20:56:20.541600+00:00,declared_area_list,2,Maternal and infant mental health and wellbeing || Maternal perinatal mental health
mem_2fc1b1d132,Chester Ho,https://profiles.ucalgary.ca/chester-ho,mesh_concept,Movement Disorders,movement disorders,accepted,false,2026-07-31T20:56:20.541600+00:00,declared_area_title,1,Movement Disorders
mem_2fc1b1d132,Chester Ho,https://profiles.ucalgary.ca/chester-ho,hbi_umbrella,Neurological Disorders,neurological disorders,accepted,false,2026-07-31T20:56:20.541600+00:00,declared_area_title,1,Movement Disorders
mem_3146e74c2b,Paolo Federico,https://profiles.ucalgary.ca/paolo-federico,mesh_concept,Epilepsy,epilepsy,accepted,false,2026-07-31T20:56:20.541600+00:00,declared_area_title,1,Epilepsy
mem_3146e74c2b,Paolo Federico,https://profiles.ucalgary.ca/paolo-federico,hbi_umbrella,Neurological Disorders,neurological disorders,accepted,false,2026-07-31T20:56:20.541600+00:00,declared_area_title,1,Epilepsy
mem_32fb421d6b,Samuel Pichardo,https://profiles.ucalgary.ca/samuel-pichardo,mesh_concept,Dementia,dementia,accepted,false,2026-07-31T20:56:20.541600+00:00,declared_area_title,1,Dementia & Cognitive Disorders
mem_32fb421d6b,Samuel Pichardo,https://profiles.ucalgary.ca/samuel-pichardo,mesh_concept,Epilepsy,epilepsy,accepted,false,2026-07-31T20:56:20.541600+00:00,declared_area_title,1,Epilepsy
mem_32fb421d6b,Samuel Pichardo,https://profiles.ucalgary.ca/samuel-pichardo,mesh_concept,Mental Health,mental health,accepted,false,2026-07-31T20:56:20.541600+00:00,declared_area_title,1,Mental Health
mem_32fb421d6b,Samuel Pichardo,https://profiles.ucalgary.ca/samuel-pichardo,mesh_concept,Therapeutics,therapeutics,accepted,false,2026-07-31T20:56:20.541600+00:00,declared_area_title,1,Focused Ultrasound as non-invasive treatment for brain disorders
mem_32fb421d6b,Samuel Pichardo,https://profiles.ucalgary.ca/samuel-pichardo,hbi_umbrella,Mental Health,mental health,accepted,false,2026-07-31T20:56:20.541600+00:00,declared_area_title,1,Mental Health
mem_32fb421d6b,Samuel Pichardo,https://profiles.ucalgary.ca/samuel-pichardo,hbi_umbrella,Neurological Disorders,neurological disorders,accepted,false,2026-07-31T20:56:20.541600+00:00,declared_area_title,2,Dementia & Cognitive Disorders || Epilepsy
mem_32fb421d6b,Samuel Pichardo,https://profiles.ucalgary.ca/samuel-pichardo,hbi_umbrella,Pharmacology and Therapeutics,pharmacology and therapeutics,accepted,false,2026-07-31T20:56:20.541600+00:00,declared_area_title,1,Focused Ultrasound as non-invasive treatment for brain disorders
mem_338f9f338e,Kara Murias,https://profiles.ucalgary.ca/kara-murias,mesh_concept,Neurodevelopmental Disorders,neurodevelopmental disorders,accepted,false,2026-07-31T20:56:20.541600+00:00,declared_area_title,1,Neurodevelopmental disorders
mem_338f9f338e,Kara Murias,https://profiles.ucalgary.ca/kara-murias,mesh_concept,Neuroimaging,neuroimaging,accepted,false,2026-07-31T20:56:20.541600+00:00,declared_area_title,1,Neuroimaging
mem_338f9f338e,Kara Murias,https://profiles.ucalgary.ca/kara-murias,hbi_umbrella,Imaging and Diagnostics,imaging and diagnostics,accepted,false,2026-07-31T20:56:20.541600+00:00,declared_area_title,1,Neuroimaging
mem_338f9f338e,Kara Murias,https://profiles.ucalgary.ca/kara-murias,hbi_umbrella,Mental Health,mental health,accepted,false,2026-07-31T20:56:20.541600+00:00,declared_area_title,1,Neurodevelopmental disorders
mem_3453676d84,Hedwich Kuipers,https://profiles.ucalgary.ca/hedwich-kuipers,mesh_concept,Multiple Sclerosis,multiple sclerosis,accepted,false,2026-07-31T20:56:20.541600+00:00,declared_area_title,1,Multiple Sclerosis
mem_3453676d84,Hedwich Kuipers,https://profiles.ucalgary.ca/hedwich-kuipers,hbi_umbrella,Neurological Disorders,neurological disorders,accepted,false,2026-07-31T20:56:20.541600+00:00,declared_area_title,1,Multiple Sclerosis
mem_35a08188c0,Sarah McFarlane,https://profiles.ucalgary.ca/sarah-mcfarlane,mesh_concept,Chromosome Pairing,chromosome pairing,accepted,false,2026-07-31T20:56:20.541600+00:00,declared_area_title,1,Synapsis
mem_35a08188c0,Sarah McFarlane,https://profiles.ucalgary.ca/sarah-mcfarlane,hbi_umbrella,Cellular and Molecular Neuroscience,cellular and molecular neuroscience,accepted,false,2026-07-31T20:56:20.541600+00:00,declared_area_title,1,Synapsis
mem_36447b4ebf,Joern Davidsen,https://profiles.ucalgary.ca/joern-davidsen,mesh_concept,"Arrhythmias, Cardiac",arrhythmias cardiac,accepted,false,2026-07-31T20:56:20.541600+00:00,declared_area_title,1,Pattern formation & cardiac arrhythmia
